REGION,SEX_C2,AGE_C7,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X99
13,Female,4,5351.00,1192.00,1753.00,2665.00,5313.00,5600.00,8731.00,8857.00,34933.00,13126.00,24912.00,17123.00,179748.00,7569.00,30213.00,30025.00,22317.00,63739.00,16665.00,9945.00
13,Female,5,7121.00,2354.00,3854.00,7108.00,10951.00,10729.00,16277.00,13624.00,54906.00,18660.00,30673.00,19089.00,152031.00,7017.00,24582.00,22004.00,14983.00,37759.00,8838.00,11040.00
13,Female,6,7566.00,3297.00,6221.00,11605.00,13598.00,10855.00,31448.00,10714.00,33286.00,12566.00,24430.00,11841.00,64086.00,4091.00,11150.00,10101.00,10369.00,25558.00,4628.00,9641.00
13,Female,7,19770.00,5984.00,11956.00,21441.00,21372.00,12469.00,49563.00,7822.00,23081.00,11687.00,19781.00,7942.00,48389.00,2089.00,6144.00,5792.00,6667.00,16439.00,2400.00,13431.00
6,Male,1,390.00,40.00,55.00,83.00,195.00,200.00,354.00,376.00,1898.00,920.00,1799.00,896.00,13501.00,1703.00,3310.00,2075.00,1264.00,710.00,17.00,879.00
6,Male,2,451.00,62.00,94.00,78.00,214.00,240.00,397.00,419.00,2461.00,1052.00,1918.00,956.00,13986.00,882.00,2357.00,2208.00,2313.00,3943.00,175.00,778.00
6,Male,3,806.00,169.00,213.00,373.00,755.00,576.00,1064.00,838.00,6068.00,1687.00,3645.00,1722.00,25000.00,882.00,3056.00,3191.00,3415.00,7124.00,920.00,1180.00
6,Male,4,922.00,339.00,476.00,767.00,1381.00,1291.00,2349.00,1789.00,10163.00,2242.00,4055.00,1960.00,20731.00,426.00,2237.00,2420.00,2087.00,4668.00,875.00,1302.00
6,Male,5,1239.00,591.00,947.00,1836.00,2652.00,2251.00,4358.00,2764.00,11439.00,2348.00,3610.00,1824.00,15608.00,254.00,1458.00,1385.00,1245.00,2686.00,539.00,1373.00
6,Male,6,1462.00,658.00,1155.00,2312.00,2893.00,2000.00,5312.00,1476.00,5555.00,1379.00,2831.00,1107.00,6754.00,168.00,642.00,722.00,958.00,1995.00,326.00,1145.00
6,Male,7,4128.00,1354.00,1970.00,3318.00,3202.00,1524.00,5056.00,599.00,2039.00,836.00,1471.00,574.00,3102.00,85.00,297.00,363.00,455.00,1094.00,111.00,1058.00
6,Female,1,286.00,24.00,28.00,51.00,128.00,84.00,189.00,232.00,1214.00,696.00,1364.00,784.00,11832.00,1915.00,4070.00,2938.00,1817.00,1147.00,18.00,751.00
